leiden,annot,n_cells
0,axl_prog,0
0,endo,0
0,fibro,0
0,immune,1518
0,melanoma_core,0
1,axl_prog,0
1,endo,0
1,fibro,0
1,immune,1258
1,melanoma_core,0
2,axl_prog,0
2,endo,0
2,fibro,0
2,immune,1121
2,melanoma_core,0
3,axl_prog,0
3,endo,0
3,fibro,0
3,immune,964
3,melanoma_core,0
4,axl_prog,0
4,endo,0
4,fibro,0
4,immune,792
4,melanoma_core,0
5,axl_prog,0
5,endo,0
5,fibro,0
5,immune,715
5,melanoma_core,0
6,axl_prog,0
6,endo,0
6,fibro,0
6,immune,651
6,melanoma_core,0
7,axl_prog,0
7,endo,0
7,fibro,0
7,immune,579
7,melanoma_core,0
8,axl_prog,0
8,endo,0
8,fibro,0
8,immune,528
8,melanoma_core,0
9,axl_prog,0
9,endo,0
9,fibro,0
9,immune,406
9,melanoma_core,0
10,axl_prog,0
10,endo,0
10,fibro,0
10,immune,383
10,melanoma_core,0
11,axl_prog,0
11,endo,0
11,fibro,0
11,immune,186
11,melanoma_core,0
12,axl_prog,0
12,endo,0
12,fibro,0
12,immune,0
12,melanoma_core,185
13,axl_prog,0
13,endo,0
13,fibro,0
13,immune,159
13,melanoma_core,0
14,axl_prog,0
14,endo,0
14,fibro,0
14,immune,140
14,melanoma_core,0
15,axl_prog,135
15,endo,0
15,fibro,0
15,immune,0
15,melanoma_core,0
16,axl_prog,0
16,endo,0
16,fibro,92
16,immune,0
16,melanoma_core,0
17,axl_prog,0
17,endo,0
17,fibro,20
17,immune,0
17,melanoma_core,0
18,axl_prog,0
18,endo,16
18,fibro,0
18,immune,0
18,melanoma_core,0
