names,scores,logfoldchanges,pvals,pvals_adj
KLRK1,30.015762,4.573394,6.1119041452154636e-198,2.3595617143018816e-193
CD8A,29.073767,5.2309904,7.706420274296048e-186,1.487570305547366e-181
LINC02446,27.83031,7.1367173,1.8648373353535158e-170,2.399797005621928e-166
NELL2,27.647736,3.8601549,2.971371313088169e-168,2.8678190228270462e-164
PDE3B,27.45711,3.2307134,5.714286487139873e-166,4.412114882450439e-162
CD8B,27.284351,5.3197837,6.505100264826366e-164,4.1855983470647784e-160
APBA2,25.31665,3.2045834,2.0944523237138853e-141,1.0107303301162282e-137
NDFIP1,25.179316,2.4046514,6.75023657864134e-140,2.8955514817225287e-136
MGAT4A,23.953007,2.367752,8.597109017886035e-127,3.3189999074450825e-123
OXNAD1,23.81074,2.4080288,2.5851506168577015e-125,9.072938610400765e-122
